disciplineId,disciplineName,topicId,topicName,subtopicId,subtopicName,materialCount,sectionCount,highConfidenceSectionCount,reviewableSectionCount,theorySections,summarySections,mindMapSections,commentedQuestionSections,questionListSections,simulationSections,referenceSections,coverageStatus
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-desenvolvimento-sistemas,Desenvolvimento de Sistemas,dp26-p3-esp-requisitos,"Classificação, processo e elicitação de requisitos",2,5,5,0,2,1,0,1,1,0,0,MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-desenvolvimento-sistemas,Desenvolvimento de Sistemas,dp26-p3-esp-frontend,"HTML, CSS, UX, Ajax, VueJS, Angular, React, padrões frontend, SPA e PWA",3,31,31,0,10,1,0,10,10,0,0,MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-desenvolvimento-sistemas,Desenvolvimento de Sistemas,dp26-p3-esp-https-tls,Protocolos HTTPS e SSL/TLS,1,16,0,16,2,0,0,7,7,0,0,MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-desenvolvimento-sistemas,Desenvolvimento de Sistemas,dp26-p3-esp-blockchain,Blockchain,1,3,3,0,1,0,0,1,1,0,0,MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-desenvolvimento-sistemas,Desenvolvimento de Sistemas,dp26-p3-esp-design-arquitetura,"Design de software, arquitetura hexagonal, microsserviços, API gateway, containers e transações distribuídas",3,20,20,0,8,0,0,6,6,0,0,MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-desenvolvimento-sistemas,Desenvolvimento de Sistemas,dp26-p3-esp-ux-cms,"UX, CMS, arquitetura da informação, portais, workflow, acessibilidade, usabilidade e interação web",4,38,38,0,21,3,0,7,7,0,0,MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-desenvolvimento-sistemas,Desenvolvimento de Sistemas,dp26-p3-esp-ia-dados-bigdata,"Inteligência Artificial, Análise de Dados e Big Data",1,9,4,5,2,2,1,2,2,0,0,MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-bi,Inteligência de Negócios — Business Intelligence,dp26-p3-esp-bi-conceitos,"Conceitos, fundamentos, características, técnicas e métodos de BI",0,0,0,0,0,0,0,0,0,0,0,NO_MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-bi,Inteligência de Negócios — Business Intelligence,dp26-p3-esp-bi-suporte-decisao,Sistemas de suporte a decisão e gestão de conteúdo,1,4,4,0,1,1,0,1,1,0,0,MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-bi,Inteligência de Negócios — Business Intelligence,dp26-p3-esp-bi-dw-etl-olap,Data warehouse com ETL e OLAP,2,5,5,0,3,0,0,1,1,0,0,MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-bi,Inteligência de Negócios — Business Intelligence,dp26-p3-esp-bi-dw-mining,Data warehouse e data mining,2,4,4,0,4,0,0,0,0,0,0,MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-bi,Inteligência de Negócios — Business Intelligence,dp26-p3-esp-bi-visualizacao,"Visualização de dados, bancos individuais e cubos",0,0,0,0,0,0,0,0,0,0,0,NO_MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-bi,Inteligência de Negócios — Business Intelligence,dp26-p3-esp-bi-fontes,Mapeamento de fontes e técnicas de coleta de dados,0,0,0,0,0,0,0,0,0,0,0,NO_MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-bi,Inteligência de Negócios — Business Intelligence,dp26-p3-esp-bi-arquitetura,Arquitetura de business intelligence,0,0,0,0,0,0,0,0,0,0,0,NO_MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-seguranca,Segurança da Informação,dp26-p3-esp-si-politicas,Políticas e procedimentos de segurança da informação,0,0,0,0,0,0,0,0,0,0,0,NO_MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-seguranca,Segurança da Informação,dp26-p3-esp-si-iso,ABNT NBR ISO/IEC 27001:2022 e 27002:2022,1,9,9,0,1,0,0,4,4,0,0,MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-seguranca,Segurança da Informação,dp26-p3-esp-si-cid,"Confiabilidade, integridade e disponibilidade",0,0,0,0,0,0,0,0,0,0,0,NO_MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-seguranca,Segurança da Informação,dp26-p3-esp-si-acesso,"Mecanismos de segurança, controle de acesso, OAuth2 e SSO",1,14,14,0,2,0,0,6,6,0,0,MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-seguranca,Segurança da Informação,dp26-p3-esp-si-riscos,"Gerência de riscos: ameaça, vulnerabilidade e impacto",1,3,3,0,1,0,0,1,1,0,0,MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-seguranca,Segurança da Informação,dp26-p3-esp-si-sdl-owasp,SDL e OWASP Top 10,1,12,12,0,2,0,0,6,4,0,0,MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-seguranca,Segurança da Informação,dp26-p3-esp-si-sast-dast,SAST e DAST,1,1,1,0,1,0,0,0,0,0,0,MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-banco-dados,Banco de Dados,dp26-p3-esp-bd-modelagem,"Modelagem conceitual, lógica e física",2,8,8,0,3,0,0,2,1,0,2,MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-banco-dados,Banco de Dados,dp26-p3-esp-bd-relacional-multidimensional,Abordagem relacional e multidimensional,0,0,0,0,0,0,0,0,0,0,0,NO_MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-banco-dados,Banco de Dados,dp26-p3-esp-bd-normalizacao,Normalização,1,4,4,0,1,1,0,1,1,0,0,MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-banco-dados,Banco de Dados,dp26-p3-esp-bd-integridade,Integridade referencial,0,0,0,0,0,0,0,0,0,0,0,NO_MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-banco-dados,Banco de Dados,dp26-p3-esp-bd-metadados,Metadados,0,0,0,0,0,0,0,0,0,0,0,NO_MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-banco-dados,Banco de Dados,dp26-p3-esp-bd-dimensional,Modelagem dimensional,1,3,3,0,1,0,0,1,1,0,0,MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-banco-dados,Banco de Dados,dp26-p3-esp-bd-sql,SQL,2,9,9,0,3,0,0,3,3,0,0,MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-banco-dados,Banco de Dados,dp26-p3-esp-bd-ddl,DDL,0,0,0,0,0,0,0,0,0,0,0,NO_MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-banco-dados,Banco de Dados,dp26-p3-esp-bd-dml,DML,0,0,0,0,0,0,0,0,0,0,0,NO_MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-banco-dados,Banco de Dados,dp26-p3-esp-bd-sgbd,SGBD,0,0,0,0,0,0,0,0,0,0,0,NO_MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-banco-dados,Banco de Dados,dp26-p3-esp-bd-propriedades,Propriedades de banco de dados,0,0,0,0,0,0,0,0,0,0,0,NO_MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-banco-dados,Banco de Dados,dp26-p3-esp-bd-nosql,Banco de dados NoSQL,1,4,4,0,2,0,0,1,1,0,0,MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-banco-dados,Banco de Dados,dp26-p3-esp-bd-memoria,Banco de dados em memória,1,3,3,0,1,0,0,1,1,0,0,MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-banco-dados,Banco de Dados,dp26-p3-esp-bd-datalake-bigdata,Data lakes e soluções para big data,1,3,3,0,1,0,0,1,1,0,0,MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-banco-dados,Banco de Dados,dp26-p3-esp-bd-estruturados,Dados estruturados e não estruturados,0,0,0,0,0,0,0,0,0,0,0,NO_MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-banco-dados,Banco de Dados,dp26-p3-esp-bd-avaliacao-modelos,Avaliação de modelos de dados,0,0,0,0,0,0,0,0,0,0,0,NO_MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-banco-dados,Banco de Dados,dp26-p3-esp-bd-integracao-ingestao,"ETL/ELT, transferência de arquivos e integração via base de dados",0,0,0,0,0,0,0,0,0,0,0,NO_MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-gestao-governanca,Gestão e Governança de Tecnologia da Informação,dp26-p3-esp-gov-projetos,"Gerenciamento de projetos, programas, portfólio e abordagens tradicional, híbrida e ágil",1,19,19,0,1,1,1,8,8,0,0,MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-gestao-governanca,Gestão e Governança de Tecnologia da Informação,dp26-p3-esp-gov-processos,"Processos, grupos de processos e áreas de conhecimento",1,5,5,0,1,1,1,1,1,0,0,MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-gestao-governanca,Gestão e Governança de Tecnologia da Informação,dp26-p3-esp-gov-riscos,Gestão de riscos,0,0,0,0,0,0,0,0,0,0,0,NO_MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-gestao-governanca,Gestão e Governança de Tecnologia da Informação,dp26-p3-esp-gov-itil,ITIL v4,1,5,5,0,1,1,1,1,1,0,0,MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-gestao-governanca,Gestão e Governança de Tecnologia da Informação,dp26-p3-esp-gov-cobit,COBIT 2019,1,5,5,0,1,1,1,1,1,0,0,MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-gestao-governanca,Gestão e Governança de Tecnologia da Informação,dp26-p3-esp-gov-bpmn,Gestão de processos e BPMN,1,5,5,0,1,1,1,1,1,0,0,MATERIAL_LOCATED
